order_id,order_date,total_amount,order_item_id,quantity,unit_price,user_id,username,email,age,country
1,2024-02-19,401.16,416,210.92037241972986,36.727076789888756,210,user210,user210@example.com,40,Australia
2,2024-02-19,423.61,353,64.51651104085151,71.17587122868169,999,user999,user999@example.com,45,Canada
3,2024-02-19,369.02,121,309.70454111235506,73.32404713868561,321,user321,user321@example.com,36,USA
4,2024-02-19,434.65,822,146.9331385325722,31.910843525179157,492,user492,user492@example.com,19,Canada
5,2024-02-19,242.69,637,366.0314245476095,10.015980665278681,990,user990,user990@example.com,25,UK
6,2024-02-19,252.41,861,128.11008118558703,68.2823620373628,982,user982,user982@example.com,56,UK
7,2024-02-19,339.47,939,124.12795896181262,90.03899632857427,948,user948,user948@example.com,49,UK
8,2024-02-19,450.21,147,238.53778561189952,54.325689826466025,603,user603,user603@example.com,30,Australia
9,2024-02-19,244.73,309,227.11045719149783,29.982295450668072,178,user178,user178@example.com,33,UK
10,2024-02-19,364.02,781,77.04932054209286,12.83041104632799,608,user608,user608@example.com,28,Canada
11,2024-02-19,422.97,147,366.24450498910886,54.325689826466025,807,user807,user807@example.com,21,USA
12,2024-02-19,450.27,574,424.2741490780513,13.07833168404614,275,user275,user275@example.com,23,UK
13,2024-02-19,317.82,63,147.46404029733338,38.62511647907845,964,user964,user964@example.com,21,UK
14,2024-02-19,74.58,831,387.5142856523714,48.07589164898181,423,user423,user423@example.com,18,UK
15,2024-02-19,403.26,954,443.25176346535153,41.746405405489824,889,user889,user889@example.com,40,Australia
16,2024-02-19,308.01,144,258.8178069554996,97.1796565181122,293,user293,user293@example.com,24,UK
17,2024-02-19,88.99,256,67.55229414983063,26.75946249408232,772,user772,user772@example.com,24,UK
18,2024-02-19,250.65,857,402.01900529712236,92.4217079835877,373,user373,user373@example.com,23,Canada
19,2024-02-19,452.69,254,68.37251095286618,74.54828667070183,486,user486,user486@example.com,53,UK
20,2024-02-19,467.22,346,346.06998833066547,39.28655083286889,936,user936,user936@example.com,31,Canada
21,2024-02-19,275.37,993,305.4335577266717,39.50859123786377,508,user508,user508@example.com,24,Canada
22,2024-02-19,449.33,324,143.23982879047475,12.965989761412388,310,user310,user310@example.com,51,Australia
23,2024-02-19,411.55,254,156.95676103150782,74.54828667070183,988,user988,user988@example.com,19,UK
24,2024-02-19,429.46,998,202.84515070529008,43.29919869839606,853,user853,user853@example.com,29,USA
25,2024-02-19,219.29,853,404.7719977444122,30.173528010947607,632,user632,user632@example.com,18,Australia
26,2024-02-19,89.90,30,386.00117617794615,97.47115455573699,632,user632,user632@example.com,18,Australia
27,2024-02-19,463.84,638,364.39367709433475,86.86978941685061,83,user83,user83@example.com,46,Canada
28,2024-02-19,372.75,134,380.63949014648784,25.254690300822993,155,user155,user155@example.com,48,Australia
29,2024-02-19,141.60,845,105.74478008752192,35.19841927155633,772,user772,user772@example.com,24,UK
30,2024-02-19,268.88,566,230.22002662281102,93.81961168270317,879,user879,user879@example.com,43,UK
31,2024-02-19,75.87,60,264.84108736093026,75.09829458990629,318,user318,user318@example.com,39,UK
32,2024-02-19,211.76,685,245.97544994960387,64.9334813219487,643,user643,user643@example.com,21,Australia
33,2024-02-19,310.26,119,133.2472709627232,91.29816716622943,838,user838,user838@example.com,48,Canada
34,2024-02-19,63.40,530,174.6060869243325,20.75772977059699,944,user944,user944@example.com,30,UK
35,2024-02-19,480.21,713,116.10379616224108,63.881881984418754,7,user7,user7@example.com,31,Canada
36,2024-02-19,410.48,976,472.4104392710811,42.9964868948315,193,user193,user193@example.com,35,USA
37,2024-02-19,227.21,235,104.57364738375347,12.405642568054024,447,user447,user447@example.com,29,Australia
38,2024-02-19,130.05,759,453.8283663532875,65.02400804703927,645,user645,user645@example.com,34,UK
39,2024-02-19,352.98,279,209.75592899650545,60.93615104443254,688,user688,user688@example.com,44,Canada
40,2024-02-19,75.53,782,389.3824801938203,18.05990371750127,763,user763,user763@example.com,18,UK
41,2024-02-19,293.68,43,444.9133166185899,31.85903176728398,634,user634,user634@example.com,37,Australia
42,2024-02-19,419.08,11,429.9342493541459,66.62885539051369,445,user445,user445@example.com,31,Australia
43,2024-02-19,301.67,20,417.73251559659474,76.87419408217782,84,user84,user84@example.com,24,Australia
44,2024-02-19,492.47,41,249.8152077876163,69.58562327404701,636,user636,user636@example.com,19,Australia
45,2024-02-19,426.67,274,409.71363015192134,32.71080697047486,304,user304,user304@example.com,30,USA
46,2024-02-19,478.33,970,409.1499646688638,76.91753121412142,414,user414,user414@example.com,57,UK
47,2024-02-19,84.80,282,216.69460676671324,92.79618988878623,901,user901,user901@example.com,48,UK
48,2024-02-19,390.20,744,332.4026361968771,52.02911607069086,107,user107,user107@example.com,51,Australia
49,2024-02-19,357.11,13,236.09742153514057,98.06448738782214,805,user805,user805@example.com,43,Australia
50,2024-02-19,112.42,51,168.51395042545477,12.961346517170021,753,user753,user753@example.com,44,Canada
51,2024-02-19,469.57,949,156.17619386706724,79.63791811979821,325,user325,user325@example.com,41,USA
52,2024-02-19,412.59,237,54.92909880063484,14.38910535600293,305,user305,user305@example.com,47,USA
53,2024-02-19,88.84,402,239.91805549701866,13.400088929852085,525,user525,user525@example.com,54,UK
54,2024-02-19,432.51,75,159.79106545450406,27.911891658716733,560,user560,user560@example.com,18,UK
55,2024-02-19,471.20,549,203.76664549554866,12.167005770164174,866,user866,user866@example.com,52,Canada
56,2024-02-19,217.33,820,234.31388154658663,50.233892334236664,205,user205,user205@example.com,53,Australia
57,2024-02-19,470.84,317,246.9127684957185,70.75794114144558,982,user982,user982@example.com,56,UK
58,2024-02-19,155.90,214,383.80320415809604,37.630097650810995,606,user606,user606@example.com,28,UK
59,2024-02-19,287.06,369,435.10550038551577,96.31554906065428,353,user353,user353@example.com,57,USA
60,2024-02-19,74.82,667,151.3023304781999,95.00082262832186,322,user322,user322@example.com,27,UK
61,2024-02-19,282.12,692,478.401203651427,24.483271276794454,606,user606,user606@example.com,28,UK
62,2024-02-19,78.17,414,62.51513046722587,80.16298850248405,671,user671,user671@example.com,43,USA
63,2024-02-19,290.71,51,57.14048012044287,12.961346517170021,948,user948,user948@example.com,49,UK
64,2024-02-19,381.22,954,478.34683610383996,41.746405405489824,267,user267,user267@example.com,20,USA
65,2024-02-19,341.20,75,408.0682876906833,27.911891658716733,63,user63,user63@example.com,56,Australia
66,2024-02-19,425.73,824,372.09234941408033,88.19723106322579,197,user197,user197@example.com,35,Canada
67,2024-02-19,307.48,83,246.24239433332363,50.96804598459123,219,user219,user219@example.com,54,UK
68,2024-02-19,399.63,656,358.2616903086617,62.20053120454713,115,user115,user115@example.com,39,Canada
69,2024-02-19,445.69,148,112.89766510966118,74.56303568794033,279,user279,user279@example.com,52,Australia
70,2024-02-19,192.56,781,208.43054285461585,12.83041104632799,74,user74,user74@example.com,19,Australia
71,2024-02-19,120.95,164,234.90962376764554,12.3579399599347,658,user658,user658@example.com,58,USA
72,2024-02-19,218.79,749,276.8207339832303,27.99635981545658,971,user971,user971@example.com,29,Australia
